"Transmitter","number_of_detections","first_detection","last_detection","animal_short_name","Transmitter_SN","tag_family","when_encountered","capture_method","tag_lat","tag_lon","tag_location","sex","TNL_cm","SciName","est_tag_expiry_date","Owner","standard_length_cm","disk_length"
"A69-9004-14393",19,2021-09-13 14:32:39,2022-01-10 19:59:53,"2021-47",1394089,"V16TP-6x-BLU-2-0204m",2021-08-27,"dart",34.410823,-119.558748,"Carpinteria","M",243,"Carcharodon carcharias","8/25/2031","Chris Lowe",NA,NA
"A69-1602-12255",18,2023-10-08 14:53:19,2023-10-10 04:23:40,"DDT-LS-23-01",1307114,"V13-1x-BLU-1",2023-09-22,NA,NA,NA,"Channel Islands","F",NA,"Triakis semifasciata",NA,"Chris Lowe",88,NA
"A69-9006-7852",18,2020-08-08 19:31:38,2020-08-12 15:48:45,"2020-31",1342090,"V13P-1x-069k-3-0034m",2020-07-15,"dart",34.397899,-119.539882,"Carpinteria","F",243,"Carcharodon carcharias","3/9/2021","Chris Lowe",NA,NA
"A69-1602-54050",17,2021-07-20 23:07:15,2021-07-22 06:18:48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9004-14394",16,2021-08-31 10:21:48,2021-10-29 11:36:38,"2021-46",1394090,"V16TP-6x-BLU-2-0204m",2021-08-27,"dart",34.408573,-119.558748,"Carpinteria","F",228,"Carcharodon carcharias","8/25/2031","Chris Lowe",NA,NA
"A69-9004-14395",16,2021-08-31 10:18:02,2021-10-30 05:56:50,"2021-46",1394090,"V16TP-6x-BLU-2-0204m",2021-08-27,"dart",34.408573,-119.558748,"Carpinteria","F",228,"Carcharodon carcharias","8/25/2031","Chris Lowe",NA,NA
"A69-1303-32547",14,2015-05-23 20:12:26,2015-05-25 06:27:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharodon carcharias",NA,NA,NA,NA
"A69-9001-62301",14,2021-11-06 05:20:31,2023-10-11 13:06:30,"2021-63",1394098,"V16-6x-BLU-2",2021-10-06,"dart",34.41,-119.558,"Carpinteria","M",183,"Carcharodon carcharias","10/4/2031","Chris Lowe",NA,NA
"A69-9004-12248",14,2023-02-23 14:27:10,2023-03-28 00:14:45,"2022-45",1513472,"V16TP-6x-BLU-2-0204m",2022-07-25,"dart",32.91503,-117.262,"Torrey Pines","F",227,"Carcharodon carcharias","7/22/2032","Chris Lowe",NA,NA
"A69-1601-46727",13,2017-06-25 01:46:25,2017-06-25 04:17:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9004-12247",13,2023-02-23 23:19:04,2023-03-28 00:11:25,"2022-45",1513472,"V16TP-6x-BLU-2-0204m",2022-07-25,"dart",32.91503,-117.262,"Torrey Pines","F",227,"Carcharodon carcharias","7/22/2032","Chris Lowe",NA,NA
"A69-1602-3234",12,2018-05-24 22:05:28,2018-07-01 14:59:57,"2018-01",1276581,"V13-1x-069k-3",2018-02-04,"dart",34.414214,-119.567053,"Unknown","U",213,"Carcharodon carcharias","11/19/2019","Chris Lowe",NA,NA
"A69-9001-12159",12,2018-09-19 01:53:53,2020-07-15 01:00:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-13032",12,2020-03-11 22:42:07,2020-03-14 10:43:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1604-64951",11,2023-10-06 19:10:17,2023-10-09 14:29:59,"DDT-LS-23-07",1575861,"V13-1x-BLU-1",2023-09-22,NA,NA,NA,"Channel Islands","M",NA,"Triakis semifasciata",NA,"Chris Lowe",103,NA
"A69-1602-41970",10,2022-03-08 05:30:39,2022-03-08 20:35:36,"2021-30",1362760,"V13-1x-BLU-3",2021-06-17,"dart",32.956213,-117.271898,"Del Mar","M",160,"Carcharodon carcharias","5/25/2022","Chris Lowe",NA,NA
"A69-9001-12053",10,2018-12-13 21:45:15,2018-12-14 01:50:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-24593",10,2014-10-28 20:09:03,2014-10-28 20:29:47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triakis semifasciata",NA,NA,NA,NA
"A69-9001-4340",10,2021-03-25 16:59:17,2021-03-25 18:02:16,"2021-05",1342061,"V16-4x-069k-2",2021-03-24,"dart",34.410833,-119.553889,"Carpinteria","F",213,"Carcharodon carcharias","3/23/2025","Chris Lowe",NA,NA
"A69-9001-17757",9,2019-08-31 15:23:08,2019-11-04 14:10:46,"2018-09",1247203,"V16-6x-069k-1",2018-08-04,"gillnet",NA,NA,"Unknown","M",135,"Carcharodon carcharias","8/1/2028","Chris Lowe",NA,NA
"A69-9001-8556",9,2019-10-13 20:49:48,2020-08-10 11:21:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-1601-37966",8,2018-05-26 10:46:08,2018-06-02 19:15:43,"2017-13",1222964,"V13-1x-069k-3",2017-06-02,"dart",33.439678,-117.645967,"Unknown","U",275,"Carcharodon carcharias","3/17/2019","Chris Lowe",NA,NA
"A69-1602-3233",8,2018-05-14 02:52:23,2020-01-15 22:23:38,"2018-04",1276580,"V13-1x-069k-3",2018-04-15,"dart",34.409333,-119.555333,"Unknown","U",150,"Carcharodon carcharias","1/28/2020","Chris Lowe",NA,NA
"A69-1602-58590",8,2020-12-28 07:27:52,2020-12-28 07:45:07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-4319",8,2020-11-16 15:47:33,2020-11-16 16:55:06,"2020-26",1342080,"V16-6x-069k-1",2020-06-29,"gillnet",34.1505658,-119.2356498,"Oxnard","F",161,"Carcharodon carcharias","6/27/2030","Chris Lowe",NA,NA
