Date.and.Time..UTC.,Receiver,Transmitter,Transmitter.Name,Transmitter.Serial,Sensor.Value,Sensor.Unit,Station.Name,Latitude,Longitude,Local_Time,Date,Month,Year,Hour,Season,Island,First_Detection,Last_Detection,animal_short_name,Transmitter_SN,tag_family,when_encountered,capture_method,tag_lat,tag_lon,tag_location,sex,TNL_cm,est_tag_expiry_date,Owner,standard_length_cm,disk_length,SciName
2015-05-18T16:10:07Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T16:10:07Z,2015-05-18,5,2015,9,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T16:35:20Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T16:35:20Z,2015-05-18,5,2015,9,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T16:52:29Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T16:52:29Z,2015-05-18,5,2015,9,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T16:56:33Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T16:56:33Z,2015-05-18,5,2015,9,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T16:58:15Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T16:58:15Z,2015-05-18,5,2015,9,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T17:05:18Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T17:05:18Z,2015-05-18,5,2015,10,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T17:07:27Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T17:07:27Z,2015-05-18,5,2015,10,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T17:09:01Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T17:09:01Z,2015-05-18,5,2015,10,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T17:12:43Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T17:12:43Z,2015-05-18,5,2015,10,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T17:15:18Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T17:15:18Z,2015-05-18,5,2015,10,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T17:19:47Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T17:19:47Z,2015-05-18,5,2015,10,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T17:44:39Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T17:44:39Z,2015-05-18,5,2015,10,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T17:54:18Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T17:54:18Z,2015-05-18,5,2015,10,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T17:56:53Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T17:56:53Z,2015-05-18,5,2015,10,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T17:59:18Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T17:59:18Z,2015-05-18,5,2015,10,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-18T18:01:22Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-18T18:01:22Z,2015-05-18,5,2015,11,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
