Transmitter,SciName,first_detection,last_detection
A69-9001-17757,Carcharodon carcharias,2019-08-31T15:23:08Z,2019-11-04T14:10:46Z
A69-9001-8556,Galeorhinus galeus,2019-10-13T20:49:48Z,2020-08-10T11:21:21Z
A69-1601-37966,Carcharodon carcharias,2018-05-26T10:46:08Z,2018-06-02T19:15:43Z
A69-1602-3233,Carcharodon carcharias,2018-05-14T02:52:23Z,2020-01-15T22:23:38Z
A69-1602-58590,Carcharodon carcharias,2020-12-28T07:27:52Z,2020-12-28T07:45:07Z
A69-9001-4319,Carcharodon carcharias,2020-11-16T15:47:33Z,2020-11-16T16:55:06Z
A69-9004-12181,Carcharodon carcharias,2023-01-16T01:50:08Z,2023-09-26T14:41:22Z
A69-9004-14388,Carcharodon carcharias,2021-08-31T17:36:09Z,2021-11-28T02:50:09Z
A69-1303-33545,Carcharodon carcharias,2016-09-08T15:12:01Z,2016-09-18T15:06:37Z
A69-1601-19099,Carcharodon carcharias,2015-07-16T19:34:10Z,2015-07-20T04:33:46Z
A69-1602-12257,Myliobatis californica,2023-09-08T01:08:56Z,2023-09-13T20:51:04Z
A69-1602-58589,Carcharodon carcharias,2021-07-03T13:50:39Z,2022-07-12T03:58:49Z
A69-1602-58598,Carcharodon carcharias,2020-02-07T01:49:29Z,2020-02-07T02:01:25Z
A69-9001-4985,Carcharodon carcharias,2020-07-25T00:00:02Z,2020-07-29T13:09:05Z
A69-9001-8566,Carcharodon carcharias,2020-02-21T21:49:14Z,2020-02-22T12:07:32Z
A69-9001-8568,Carcharodon carcharias,2020-11-11T12:41:31Z,2021-12-06T10:31:33Z
A69-9002-3586,Carcharodon carcharias,2021-06-09T23:46:39Z,2021-11-23T09:42:48Z
A69-9002-3587,Carcharodon carcharias,2021-06-23T14:49:40Z,2021-11-12T16:56:47Z
A69-9004-12212,Carcharodon carcharias,2022-05-18T05:26:00Z,2022-05-26T15:49:31Z
A69-9004-12214,Carcharodon carcharias,2022-08-14T20:32:23Z,2022-09-27T16:33:54Z
A69-9004-14389,Carcharodon carcharias,2021-08-28T15:02:04Z,2021-11-23T14:26:29Z
A69-1303-46865,Carcharodon carcharias,2016-03-03T20:20:31Z,2018-05-15T22:11:04Z
A69-1303-58458,Carcharodon carcharias,2014-08-08T21:20:55Z,2014-08-08T21:32:17Z
A69-1602-3236,Carcharodon carcharias,2018-06-03T21:38:55Z,2019-10-13T14:00:41Z
A69-1602-54051,Carcharodon carcharias,2021-03-29T21:24:55Z,2021-04-03T12:52:32Z
A69-9001-24598,Galeorhinus galeus,2019-06-02T18:19:52Z,2022-03-10T11:18:09Z
A69-9001-24657,Pseudobatos productus,2016-05-30T21:50:15Z,2016-05-30T22:00:53Z
A69-9001-4708,Carcharodon carcharias,2022-08-28T21:27:30Z,2022-08-28T21:56:59Z
A69-9004-12219,Carcharodon carcharias,2023-10-20T00:26:28Z,2023-10-20T06:53:55Z
A69-1303-6347,Carcharodon carcharias,2016-06-23T22:59:47Z,2016-06-26T07:41:55Z
A69-1601-62065,NA,2023-02-20T19:56:52Z,2023-02-23T05:00:39Z
A69-1602-3231,Carcharodon carcharias,2018-05-25T01:29:35Z,2018-05-25T01:38:36Z
A69-9001-12062,Carcharodon carcharias,2018-03-02T19:14:50Z,2021-07-24T06:29:31Z
A69-9001-24387,Carcharodon carcharias,2018-01-04T18:44:51Z,2018-01-05T10:24:56Z
A69-9001-26866,Galeorhinus galeus,2014-06-17T18:22:54Z,2014-09-02T19:38:57Z
A69-9001-26867,Galeorhinus galeus,2014-04-26T07:40:13Z,2016-04-14T07:51:26Z
A69-9001-4705,Carcharodon carcharias,2021-09-16T17:45:46Z,2021-09-25T15:48:53Z
A69-9007-606,Carcharodon carcharias,2021-08-03T08:26:26Z,2022-05-07T00:51:23Z
A69-9007-607,Carcharodon carcharias,2021-08-03T08:25:28Z,2022-05-07T00:50:34Z
A69-1303-6338,Carcharodon carcharias,2018-05-07T22:16:02Z,2018-05-24T13:50:44Z
A69-1601-57523,Carcharodon carcharias,2018-09-28T06:18:01Z,2018-09-28T07:39:53Z
A69-1602-58591,Carcharodon carcharias,2021-07-29T01:41:50Z,2021-07-29T01:49:05Z
A69-1602-9671,NA,2016-06-07T22:02:43Z,2020-10-05T19:44:31Z
A69-9001-4325,Carcharodon carcharias,2021-05-09T10:16:18Z,2021-05-09T10:29:37Z
A69-9001-55586,Carcharodon carcharias,2023-06-20T14:02:13Z,2023-06-21T03:17:54Z
A69-9001-63063,Carcharodon carcharias,2021-09-11T17:00:24Z,2021-11-25T07:15:39Z
A69-9004-12196,Carcharodon carcharias,2023-10-07T14:36:23Z,2023-10-07T20:24:35Z
A69-9004-12210,Carcharodon carcharias,2022-05-20T15:05:37Z,2022-05-23T07:26:55Z
A69-9004-12213,Carcharodon carcharias,2022-05-17T10:40:31Z,2022-05-25T05:02:18Z
A69-9004-12231,Carcharodon carcharias,2022-07-11T03:36:21Z,2022-07-30T09:19:56Z
A69-9004-12239,Carcharodon carcharias,2023-02-02T07:28:29Z,2023-02-12T02:50:16Z
A69-1303-4097,NA,2017-08-28T00:36:13Z,2019-10-01T21:52:50Z
A69-1303-6156,Carcharodon carcharias,2016-06-10T13:22:06Z,2016-06-10T13:25:42Z
A69-1303-6349,Carcharodon carcharias,2017-08-29T18:43:12Z,2017-08-29T18:49:47Z
A69-1601-62006,NA,2020-08-12T14:57:15Z,2020-11-29T18:44:19Z
A69-1602-2228,Carcharodon carcharias,2018-05-25T01:34:06Z,2018-05-25T01:39:36Z
A69-1602-33464,NA,2014-10-23T19:46:02Z,2018-10-02T17:12:49Z
A69-1602-8660,Carcharodon carcharias,2020-07-20T19:32:16Z,2020-07-20T19:45:41Z
A69-9001-12145,Carcharodon carcharias,2018-06-30T03:35:28Z,2018-06-30T03:38:02Z
A69-9001-12151,Carcharodon carcharias,2018-11-19T07:50:10Z,2018-11-19T09:54:55Z
A69-9001-13026,NA,2018-01-16T00:01:35Z,2018-01-16T04:03:41Z
A69-9001-4706,Carcharodon carcharias,2022-05-05T23:33:42Z,2022-05-05T23:43:21Z
A69-9001-55582,Carcharodon carcharias,2023-09-02T21:12:08Z,2023-09-02T21:16:47Z
A69-9004-12199,Carcharodon carcharias,2023-03-19T05:58:06Z,2023-03-20T12:01:35Z
A69-9004-12205,Carcharodon carcharias,2023-07-21T01:46:50Z,2023-07-21T01:52:08Z
A69-9004-12240,Carcharodon carcharias,2023-02-02T07:25:20Z,2023-02-13T06:20:35Z
A69-9004-14390,Carcharodon carcharias,2021-09-19T05:54:16Z,2021-10-05T09:24:58Z
A69-1303-6165,Carcharodon carcharias,2016-07-15T02:35:06Z,2016-07-15T02:38:09Z
A69-1601-27074,Seriola lalandi,2015-03-30T22:57:39Z,2015-03-30T22:58:34Z
A69-1601-62806,NA,2019-05-22T17:33:41Z,2019-05-22T17:33:58Z
A69-1602-1352,Carcharodon carcharias,2018-05-09T13:41:13Z,2018-05-09T13:43:33Z
A69-1602-14302,NA,2019-10-02T14:46:00Z,2020-03-14T19:16:05Z
A69-1602-46492,NA,2017-03-11T19:41:32Z,2017-03-11T19:43:34Z
A69-1602-48637,NA,2017-10-23T16:57:35Z,2018-11-26T15:21:46Z
A69-1602-48947,NA,2019-07-28T17:46:50Z,2019-09-24T13:49:26Z
A69-1602-52300,NA,2022-05-22T15:52:12Z,2022-05-22T20:57:18Z
A69-1602-58084,NA,2021-10-29T00:47:59Z,2021-10-29T00:49:43Z
A69-9001-13339,Galeorhinus galeus,2019-11-03T15:23:42Z,2020-12-02T20:45:16Z
A69-9001-55571,Carcharodon carcharias,2023-09-17T02:33:32Z,2023-09-17T02:37:58Z
A69-9001-63061,Carcharodon carcharias,2022-02-11T12:21:22Z,2022-02-11T12:24:40Z
A69-9001-8574,NA,2021-11-30T15:53:32Z,2021-11-30T15:55:32Z
A69-9001-8577,Carcharodon carcharias,2020-01-30T04:50:45Z,2020-01-30T04:52:40Z
A69-9004-12232,Carcharodon carcharias,2022-07-24T02:26:22Z,2022-07-25T22:46:20Z
A69-9004-12237,Carcharodon carcharias,2023-07-14T12:30:45Z,2023-07-14T16:47:13Z
A69-9004-14391,Carcharodon carcharias,2021-09-22T05:49:06Z,2021-10-05T09:22:19Z
