Transmitter,animal_short_name,Transmitter_SN,tag_family,capture_method,tag_lat,tag_lon,tag_location,sex,est_tag_expiry_date,Owner,standard_length_cm,disk_length,SciName,TNL_cm,when_encountered,last_detection,first_detection,number_of_detections
A69-9006-7850,2020-32,1342088,V13P-1x-069k-3-0034m,dart,34.397899,-119.539882,Carpinteria,F,3/10/2021,Chris Lowe,NA,NA,Carcharodon carcharias,243,2020-07-16,2021-03-15T21:35:04Z,2020-07-20T20:47:05Z,186
A69-9001-22769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2021-03-30T02:13:36Z,2021-02-04T07:20:35Z,180
A69-9007-609,2021-49,1362765,V13TP-1x-BLU-3-0034m,dart,34.395263,-119.539781,Carpinteria,F,5/13/2022,Chris Lowe,NA,NA,Carcharodon carcharias,289,2021-08-27,2021-11-17T04:50:56Z,2021-08-28T10:58:54Z,172
A69-9001-4339,2021-02,1342060,V16-4x-069k-3,dart,34.405808,-119.5519,Carpinteria,F,3/16/2025,Chris Lowe,NA,NA,Carcharodon carcharias,183,2021-03-17,2021-11-28T16:11:55Z,2021-03-21T11:12:40Z,166
A69-9001-13501,2018-12,1272172,V16-6x-069k-1,gillnet,34.122052,-119.28785,Oxnard,M,8/26/2028,Chris Lowe,NA,NA,Carcharodon carcharias,160,2018-08-29,2023-02-07T10:48:16Z,2018-10-17T13:53:26Z,162
A69-9007-608,2021-49,1362765,V13TP-1x-BLU-3-0034m,dart,34.395263,-119.539781,Carpinteria,F,5/13/2022,Chris Lowe,NA,NA,Carcharodon carcharias,289,2021-08-27,2021-11-17T04:52:14Z,2021-08-28T10:59:58Z,158
A69-1601-46843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-07-12T01:08:47Z,2017-06-29T16:33:10Z,156
A69-1602-3237,2020-34,1276584,V13-1x-069k-3,dart,34.397899,-119.539882,Carpinteria,U,5/15/2022,Chris Lowe,NA,NA,Carcharodon carcharias,239,2020-07-31,2020-10-29T03:13:05Z,2020-07-31T19:40:44Z,153
A69-9001-12060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,335,2017-12-18,2020-03-17T04:15:09Z,2018-03-20T11:00:18Z,144
A69-1602-41963,21-bat_ray-01,1362753,V13-1x-BLU-3,NA,34.392918,-119.540398,Santa Barbara,F,8/29/2022,Chris Lowe,65,96,Myliobatis californica,NA,2021-09-21,2021-11-03T13:50:47Z,2021-09-21T19:17:08Z,143
A69-1601-46826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-07-12T01:08:52Z,2017-06-29T16:28:58Z,135
A69-9002-4559,2021-38,1370685,V16P-6x-BLU-2-0680m,dart,34.394043,-119.54009,Carpinteria,F,11/29/2027,Chris Lowe,NA,NA,Carcharodon carcharias,274,2021-08-13,2021-11-11T12:52:15Z,2021-08-21T11:51:48Z,133
A69-9001-8009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2020-11-30T21:30:59Z,2019-10-24T21:08:11Z,128
A69-1602-54057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,366,2020-11-24,2021-12-31T05:37:46Z,2021-09-27T15:28:35Z,127
A69-9001-8575,2020-03,1301916,V16-4x-069k-2,dart,35.20901,-120.86189,Diablo Canyon,F,10/3/2025,Chris Lowe,NA,NA,Carcharodon carcharias,259,2020-01-15,2021-03-22T02:25:37Z,2020-07-23T23:53:57Z,123
A69-1602-8658,2020-41,1294996,V13-1x-069k-3,dart,34.397899,-119.539882,Carpinteria,U,4/27/2022,Chris Lowe,NA,NA,Carcharodon carcharias,198,2020-09-02,2020-11-14T13:20:14Z,2020-09-04T15:24:04Z,115
A69-9001-12140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,442,2017-11-07,2018-03-27T21:18:52Z,2018-01-21T10:11:04Z,113
A69-9001-12141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,335,2017-11-07,2021-12-13T20:10:03Z,2019-09-03T13:19:26Z,111
A69-1602-8659,2020-36,1294997,V13-1x-069k-3,dart,34.397899,-119.539882,Carpinteria,U,3/25/2022,Chris Lowe,NA,NA,Carcharodon carcharias,183,2020-07-31,2021-10-14T22:36:54Z,2020-08-03T14:21:18Z,108
